"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",0.162491302787576,0.205131395277481,-8.85837488451661,8.11892907592145e-19,0.10726867675121,0.240052940769505
"2","cardiac_deathYes",2.56564748998698,0.610013104869227,1.54457481649087,0.122449141534882,0.731829401607654,8.22652738062462
"3","agedonor16",1.02022166162694,0.00637320241149235,3.14126520931712,0.00168219627434728,1.00768983943567,1.03322243608615
"4","cardiac_deathYes:agedonor16",0.992632417964386,0.0238056644820005,-0.310634333351106,0.756078623298079,0.947563293981382,1.04132614051573
